Word/Phrase,Description & Definition
kai,"2, in kai tika! and kai rā! serves you right then! (cf. kai-3.)"
kai-,"3, pref. The first element in a few verbal compounds (see kai‘au live in peace, kaikarakia learned in the old lore, kaimoumou waste, kainanu selfish, (‘aka)kaio‘u owe, ‘akakai pakari act tough, kaipenu mean, kaitamaki wage war, kaitū‘au‘au squander). (cf. kai1, kai2.)"
kai,"4, n. Score (e.g. runs in cricket, points at cards, goals at basketball). Nā mātou te kai ma‘ata i tā kōtou i te pā‘anga pōro i topa ake nei. we got a bigger score than you in the last cricket match; ‘e ‘ōva kai kore. it was a maiden over; ‘ī  toru ā mātou kai tere. we got three points (or runs, games etc) more. [Pn. *kai4.]"
kai-,"5, bound root. (See kai‘ara.) (cf. kai6.)"
-kai,"6, bound root. (See pōkai1, pōkaikai, tākai(kai).)"
ka‘i,"1, n. Pacific Asaphis (Asaphis violescens). E ‘aere kōtou e keri mai i tēta‘i ka‘i. go and dig some ka‘i; ‘e pūtē ka‘i tā mātou. we’ve got a sack of ka‘i; ka pu‘era ‘ua te ka‘i [from a chant]. the clams will open their valves. [Pn. *kasi1.]"
ka‘i,"2, v.t. Cut; a knife (Mang. dial. = Rar. tī pū, pari, mātipi). (See tūka‘i.)"
kai‘anga,", n. Taste. ‘E kai‘anga meitaki tō teia kūmara. this kumara tastes good. [kai1, -‘anga4.]"
kai‘ara,", n. The aerial brace-roots of the pandanus tree. Nō te tiki kai‘ara mai mātou ‘ei ma‘ani vairākau. we’ve been getting pandanus brace-roots to make medicine. [kai-5, ‘ara3.]"
kaiatea,", n. A common inland tree (Weinmannia  samoensis).   ILL."
kaiatea,", Weinmannia"
kai‘au,", v.i. Live peacefully. Tē kai‘au ‘ua nei mātou i te ‘au o Peritāne. we live in peace under Britain’s rule; te au tangata ke katoa e kaiau aere i rotopu ia kotou. the strangers that sojourn among you (Ezek. 47.22). [kai-3, ‘au1.] [Pn. *kai-sau.]"
kainga,"1, n. Table or mat spread with food, meal, feast. ‘E ‘apinga tika ai te kai i teia kainga! What a lot of food laid out here! E varu nga‘uru tangata tei ‘aere mai ki te kainga a mātou. eighty guests came to our feast. [kai1, -nga2.]"
kainga,"2, pass. kai1, eat, q.v. [kai1, -nga3.] kāinga, n. Home, homestead, land around the house, field, property; Kua ‘akaruke au i tāku puka ki te kāinga. I’ve left my book at home; ‘e toa kāinga ‘ua ‘aia. he’s brave enough when he’s safe at home; kua tanu ‘aia i te kāinga ki te meika. he planted his field with bananas. Pū kāinga, owner of the property. Tangata kāinga, man of property. Ko te tangata kainga teia e aere mai, ka ta tatou iaia, e e riro mai te kainga ia tatou uaorai. this is the heir, let us kill him and the inheritance shall be ours (Mark 12.7). [Pn. *kaai""a.] kaingākai, n. 1. Table. E ‘akapapa koe i te puka ki runga i te kaingākai. stack the books up on the table; kua tari mai rātou i te kai ki runga i te kaingākai ē kua kāpiki i te tangata kia ‘aere mai kia kai. they brought the food to the tables and called the people to come and eat. 2. Feast. I te kaingākai ‘akaipoipo o Tara mā, kua ma‘ata te tangata tei ‘aere mai. many people came to the wedding feast of Tara and his bride. [kainga1, kai1.]"
ka‘ika,", n. 1. The aboriginally-introduced Malay-apple (Szygium malaccense) and its fruit. ‘E ka‘ika ‘ua tā mātou. we have a Malay-apple tree which is bearing heavily; ‘e ka‘ika para tāku. I’ve got a ripe Malay-apple. 2. The rose-apple (Eugenia jambos), often called ka‘ika papa‘ā to distinguish it from (1). Kua ‘a‘aki mātou i te pū ka‘ika papa‘ā a kōtou. we’ve picked your rose-apple tree; kua rūrū te matangi i te ka‘ika papa‘ā ki raro. the wind shook down the rose-apples. [Pn. *kafika.]"
kaikai,", v.i. 1. Eat a meal. Kua oti mātou i te kaikai. we’ve had dinner; ‘e tangata kaikai tērā. that man is a great eater. Te taime kaikai, mealtimes. Mereki kaikai, food plates, dinner plates. Kua ‘akapapa te tamā‘ine i te mereki kaikai ki runga i te kaingākai. the girl set the plates out on the table. ‘Are kaikai, dining-room, restaurant. Kua kai mātou i te puaka ē te moa ki te ‘are kaikai o Tā. we had pork and chicken at Ta’s restaurant. 2. Get eaten, be eaten (as a threat). ‘Eia‘a koe e māniania mai, ka kaikai koe iāku! you hold your tongue or I‘ll have you for breakfast! [kai1 RR.] kai karakia, v.i. Learn (or learned in) the traditional lore, esp. the karakia, q.v. Kua kai karakia teia tangata. this man knows the old poems and incantations; ‘e tangata kai karakia ‘aia. he is well-versed in the old lore. [kai3, karakia.]"
kaimoumou,", (-a, -‘ia). Waste, squander, be extravagant with something. ‘Auraka e kaimoumou i tā‘au moni. don’t waste your money; kua rave kaimoumou ‘ua kōtou i te rākau. you’ve been very waste-ful with the timber; ‘ea‘a i kaimoumou‘ia ai te ika? why have the fish been wasted?; te tamaiti kaimoumou ‘apinga. the prodigal son. Kaimoumou i te taime, kaimoumou taime, waste time. ‘Auraka koe e kaimoumou ki tēnā ‘anga‘anga pu‘apinga kore. don’t waste time on that unnecessary job; Kāre ‘aia i kaimoumou taime ana i te kimi rāvenga. he lost no time seeking a solution. [kai-3, moumou2.]"
kainanu,", v.i. Selfish, mean. Kua kainanu koe i tā‘au moni. you are very mean with your money; ‘e tangata kainanu koe i tā‘au vī . you are very selfish with your mangoes. [kai-3, -nanu2.]"
kaio‘u,", (-a, -‘ia). Owe, (be in) debt. Kua kaio‘u au kiāia ‘ē rua nga‘uru paunu. I owe him twenty pounds; kua tūtaki au i tāku kaio‘u i roto i te toa. I’ve paid off what I owe at the shop; ‘e tangata kaio‘u ma‘ata koe. you have run up big debts; e kaio‘u oki au na te Eleni. I am debtor to the Greeks (Rom. 1.14); kāre e ‘akatika‘ia te kaio‘u. credit is not allowed. Rave kaio‘u, to obtain things on credit. Kua rave kaio‘u au i tāku ‘apinga. I have got my things on credit. [kai-3, ivi.]"
kaipenu,", v.i. Selfish, stingy (‘Ātiu dial.), cf. Rar. karapi‘i. [kai-3, -penu.] kā‘iro, (-a, -‘ia). Mix, blend. Kua kā‘iro au i te pēni ki te ‘inu. I’ve mixed the paint with oil; ko te pēni kā‘iro‘ia tēia. this paint is already mixed; kua kā‘iro vai te pēnitī ni. there’s water in the petrol; kua kā‘iro ‘ua te puka i tō rāua ‘aka‘oki‘oki-‘anga ki runga i te pā‘ata. the books were all mixed up after they’d put them back on the shelves; ‘anga‘anga kā‘iro ‘ua, show unfair bias or favouritism. [kā-3, ‘iro1.] kā‘iro‘iro, (-a, -‘ia), fq. kā‘iro. Mix or blend together. ‘E mānea tika ai tōna kā‘iro‘iro‘anga i te kara o te taura. it’s very beautiful the way she has blended the different colours of the threads; kua kā‘iro‘iro‘ia te tiare māori ki te miri i tōna tui‘anga i te ‘ei. she mingled basil and gardenia flowers to make the wreath; te ruru tiare kā‘iro‘iro‘ia, a mixed bouquet; ‘e tiare kā‘iro‘iro tēia. this is a variegated bloom; kua kā‘iro‘iro te tiare i te tanu-‘anga ki roto i tāna ‘āua. there are many different flowers planted together in her garden. [kā-3, ‘iro1 RR.]"
kaitamaki,", v.t. Wage war on (ki). Kua kaitamaki ‘a Tiāmani kia Peritāne. Germany waged war on Britain. [kai-3, tamaki.] kaitū‘au‘au, (-a, -‘ia). Squander. Kua kaitū‘au‘au ‘aia i tāna moni. he squandered his money; kua kaituauau atura i tona apinga i te kanga. and there wasted his substance with riotous living (Luke 15.13). [kai-3, ? Tah. tuahu ‘do wrong’.] kaiū, n. Suckling. No roto i te vaa o te tamariki meangiti e te kaiu, out of the mouths of babes and sucklings (Matt. 21.16); te kaiu, e te tangata rauru inaina, the suckling and the man with grey hairs (Deut. 32.25). [kai1, ū1.] kāivi, n. 1. Ridge. Te kāivi maunga, mountain ridge. 2. Edge (of wall or plank, i.e. projection, not brink). Kāre i pateka meitaki te kāivi o te rākau. the edge of this piece of wood isn’t smooth (straight, regular) enough. 3. Hem or seam (of garment). E tui ‘aka‘ou i tēta‘i ara taura nā runga i teia kāivi o te kāka‘u. sew another row of stitches along this seam. 4. Crease (down front of trousers). Ka ‘ati‘ati te kāivi i tō piripou mē no‘o pērā koe. you‘ll spoil the crease in your trousers sitting like that. 5. Spine or raised vein (in leaf). ‘E rau kāivi tikatika. it’s a leaf with a straight spine. 6. Grain (in wood). Kāre au e ‘inangaro kia pēni‘ia te ngūtupa nō te mānea i te kāivi o te rākau. I don’t want the door painted, because there is a lovely grain in the wood. [kā-3, ivi.] kāiviivi, n., fq. kāivi. (Little) ridges etc. Kua ‘akatika‘ia te au kāiviivi o te purūmu. the ridges in the road were levelled out. [kā-3, ivi RR.]"
kaka,"1, v.i. Hop, skip. E kaka koe ki kō i te ngūtupa. hop over there to the door; i tōku kaka‘anga kua tārevakē tōku vaevae. I put my foot wrong (made a mistake) when I was skipping; kāre au e rauka i te kaka, ‘e mamae taku vaevae. I can’t skip, my leg is hurting. (See kakakaka1.) kaka2 The brown textile-like stipule at the base of the coconut frond (used as a strainer or for squeezing out coconut cream, formerly used for coarse clothing or for wrapping the sinkers on fishing nets). Kua tī pū ‘aia i te kaka o te nū ‘ei tatau ‘akari. he cut the stipule off the coconut frond to squeeze out the coconut cream; ‘e tatau kaka tā kōtou? have you got a wringer made of kaka? [Pn. *kaka1.] kakā. 1. v.i. Shine brightly, vividly, radiantly, gloriously; brightness, glory. ‘E kakā tika ai te mārama o te ‘ētū a‘ia‘i. the evening star is shining brightly; ‘e mārama tika ai te kakā o te marama. the moonlight is very bright; kua kakā mai te rā ki raro. the sun shone down; ‘e karapa‘anga uira kakā, a vivid flash of lightning; kua kakā te ariki va‘ine i tōna no‘o‘anga ki runga i te terōno ariki. the queen was radiant (or resplendent) seated on the royal throne; nō‘ou te pātireia, te mana, ē te kakā, thine is the kingdom, the power, and the glory; te tuatua nei te au rangi i te kakā o te Atua. the heavens declare the glory of God (Ps. 19.1). 2. v.t. (-‘ia). In the phrase kakā i te mata, open the eyes wide, keep a sharp lookout; kua kakā ‘aia i tōna mata nō tōna pō‘itirere. he opened his eyes wide in astonishment; kakā‘ia tō‘ou mata kia kite koe i te pa‘ī rere. keep your eyes skinned for the plane. Mata kakā, sharp eyes. ‘E mata kakā tōna. he’s got sharp eyes. [kā2, rR.] kākā1, n. Name given to a number of lianas. ‘ī  toru āku kākā i ‘apai mai ei ‘ei rere nā tātou. I’ve brought three (lengths of) lianas for us to skip with; kua ‘apai mai ‘a Mere i te ruru kākā ki te ‘āpi‘i. Mere has brought a coil of liana to school; kua ‘u‘uti kākā mātou. we’ve pulled up some lianas. Some varieties: Kākā mura, which has a reddish stem; kākā tea, found on the coast, with a pale-greenish stem; kākā uri, dark-green stemmed; kākā vai, whose large stem holds potable water.    ILL.    kākā vai kākā2, n. Said to be a large heron-like bird living in the hills but visiting the river banks at certain seasons, but the ornithologists know of no such bird. Kua rere te kākā nō tei arumaki‘ia e te puakāoa. the kākā flew off because the dog was after it; ‘e punua kākā ‘ua. it’s only a young kākā. kākā3, n. Kind of jellyfish (Ait. dial.)."
kakai,", v.i. intens. kai1. Eat heavily, consume a great deal; heavy eating or consumption. ‘E ‘apinga tika ai te kakai i tērā tamaiti. it’s amazing how much that boy can stow away; I aere mai te Tamaiti a te tangata ma te kaikai e te inu, e te karanga nei ratou, I na, e tangata kakai e te inu wina. the Son of man came eating and drinking, and they say, Behold a man gluttonous, and a wine-bibber (Matt. 11.19); e ai kakai oki toou Atua ko Iehova, for the Lord thy God is a con-suming fire (Deut. 4.24). [kai1 rR.] kākāia, n. The white tern (Gygis alba). Mē ‘e manu ‘uru teatea, ‘e kākāia. if the bird has white feathers, it‘ll be a fairy tern; ‘auraka e vā‘i i te ‘ua kākāia. don’t break the fairy tern’s eggs; i pupu‘i kākāia ana koe? had you shot a fairy tern?    ILL.    kākāia, White Tern"
kakakaka,"1, v.i., fq. kaka1. Hop, skip. ‘Okota‘i ō tātou kakakaka‘anga. let’s all skip together. [kaka1 RR.]"
kakakaka,"2, v.i. Cluck or cackle (as hen), croak (as frog). Kua ‘akarongo au i te kakakaka a te moa. I heard the cackling of the hens; kua kakakaka te tī nanā moa. the mother hen clucked; kua kakakaka te rana. the frogs croaked. [? Imitat.] kākakake, v.i. Climb (an old dual (?) form of kake, cf. kakake). kākakaro, v.i. Quarrel (an old dual form of karo2). Tē kākakarō ra rāua i tae atu ei au. they were quarrelling when I arrived; nō te ‘are i kākakaro ei rāua. it was the house that they were quarrelling about. kākakata, v.i. Laugh a lot (pl. and intens. of kata1). Kua kākakata rātou nō tei ‘inga au. they laughed a lot because I fell over."
kakake,", v.i., (pl. of kake). Climb. Tē kakake atū ra rāua i taka mai ei te toka. they were climbing on up when the rock rolled down. [kake rR.] kākākuru, n., var. akākākuru. A kind of sea-snake. Te kōpatapata kerekere i runga i te kōpapa o te kākākuru, the black spots on the snake-eel’s body. kāka‘o, n. 1. A tall perennial grass having a cane-like stem and feathery terminal panicles (Miscanthus floridulus). E ‘iri koe i te kāka‘o mama‘ata ‘ei koro i te ‘are. pick out the biggest canes for the walls of the house; kua ‘apai mai mātou i te ruru kāka‘o i runga i te maunga. we’ve brought a bundle of canes down from the hill; ‘e pare kāka‘o tōku nō Mangaia mai. I’ve got a kāka‘o hat from Mangaia. 2. (Bib.). Arrow. Te aronga akainaina kakao, the archers. (1 Sam. 31.3). (cf. ka‘o, thatch rafter.)    ILL.    Kāka‘o kākaoa, v.i. Crow, cackle, scream out, howl, neigh. Kua kākaoa te moa i te māmāiāta. the cock crowed at dawn; te moa e kākaoa, nāna rāi te ‘ua. the hen that cackles, she’s laid the egg (it’s the guilty party that protests loudly); kua kākaoa te pēpe i tōna tuku‘anga ki raro. the baby howled when she put him down. (cf. aoa.) kākapu, (-a, -‘ia -na). 1. Fill (i) a con-tainer with (ki) something; container, receptacle. Kua kākapu au i te pi‘a ki te ‘ānani. I filled the box with oranges; i tōku kākapu‘anga i te pi‘a ki te one, kua nga‘ā te kaokao. when I was filling the box with soil, the sides split open; tē kākapu‘ia nei te pi‘a ki te tī tā. the box is being filled with rubbish; tēia te kākapu meitaki nō te vai. this is the best container (or scoop, cf. (3) below) for the water; kākapu re‘u ‘ava‘ava, n., an ash-tray. 2. Put or store (i) something in (ki) a container. Kua kākapu au i te ‘ānani ki te pi‘a. I put the oranges in a box; kua kākapu‘ia te one ki te pūtē. the soil was contained in a bag; tēia te pūtē ‘ei kākapu i te one. here is a bag to hold the sand. 3. Ladle or scoop (i) something up with (ki) a container. I tōku kākapu‘anga i te vai ki te tini, kua āru mai te ro‘ero‘e. while I was scooping up the water with the tin, the mosquito larvae got in as well; kia pou te vai i te kākapu‘ia, kua tāmā mātou i te vairanga. when all the water had been scooped out, we cleaned the container. [kā-3, kapu.] kākapuna, pass. kākapu, q.v."
kakara,", v.i. (Give off) an attractive scent, smell sweet; sweet smell. Kua kakara te kai a kōtou. your food smells good; ‘e tiare kakara te tī pani. the frangipani is a scented flower; i te kakara‘anga o te manongi, kua kite au ē ‘e tangata tei va‘o i te ‘are. I could tell there was someone outside the house from the scent of coconut-oil; ‘e ‘apinga tika ai te kakara i te tī pani. the scent from frangipani is terrific. [Pn. *kakala.] kākara, n. Small terrestrial hermit crabs (Coenobita spp.). ‘E tini kākara kī  tā mātou i te kāinga. we’ve got a tinful of kākara at home; kāre i ma‘ata roa tā mātou kākara i napō, ‘e unga ‘ua te ra‘i‘anga. we didn’t get many little hermit crabs last night, they were mostly the large sort; i rama kākara ana mātou ‘ei tākiri āpōpō. we’d been hunting with torches for little hermit crabs (to use as bait) for tomorrow’s angling. kākarāvai, karakarāvai, n. Various spe-cies of dragonfly. Kua tō te kākarāvai ki runga i te ‘ātava rākau. the dragonfly perched on a branch. (cf. -kara3 + vai1 water gazer?; karo2 + vai1 water scooper?) kākaro, v.t. Look (Mang. dial., cf. Rar. ‘ākara)."
kakata,", kākata, v.i., dual or pl. of kata1. Laugh. ‘Ea‘a rāua i kākata ai? what are those two laughing at? [kata1 rR.]"
kakati,"1, (-‘ia, kātia). 1. Bite, nip. Kua kakati te puakāoa i te tamaiti. the dog bit the child; kua kakati te namu iāku. the mosquitoes bit me; ‘ē ‘ākara koe i te kakati a te puakāoa i runga i taku rima. look at this dog bite on my hand; kia matakite, ‘e ‘oro‘enua kakati tēia. watch out, this horse bites; ‘auraka e kai, ‘e varaoa kātia tēnā e te kioretoka. don’t eat it, the rats have been nibbling that loaf; i tōna kakati‘ia‘anga e te veri, when he got bitten by a centipede; te ngā‘i e kakati ei te pereiki ki runga i te uira, the place where the brakes grip on the wheel. 2. v.i. (Have) a gnawing pain. Kua kakati tōku kōpū. I’ve a gnawing pain in my stomach; ‘e ‘apinga tika ai te kakati i tōku kōpū. there is an awful gnawing pain in my stomach. [-kati2 rR.]"
kakati,"2, n. Waistcoat. Kua ‘a‘ao ‘aia i te kakati i mua ake ka ‘a‘ao ei i te pereue. he put on the waistcoat and then the jacket."
