Word/Phrase,Description & Definition
paeketi,", n. Packet. ‘E a‘a tā‘au i roto i tēnā paeketi? what have you got in that packet?; kua ‘oko paeketi tīkiro ‘aia. she bought a packet of envelopes. [Eng. packet.]"
paepae,", n. 1. The grounds around the house of an ariki, mata‘iapo, or other notable, usually marked out by stones or by a raised platform of pebbles adjacent to the house. Ko te paepae tēia o Tangi‘ia i tōna no‘o‘anga ki konei. this was Tangi‘ia’s paepae when he lived here; kua kake te ariki ki runga i tōna paepae. the king ascended his paepae. 2. (obsol.). Stone foundation of a house. [pae2 RR.]"
pa‘epa‘e,", (-a), v.i., fq. pa‘e. Swerve from side to side, zigzag, tack. Kua pa‘epa‘e ‘aere te tangata konākava i tōna pātikara i tōna ‘aka‘oro‘anga nā runga i te mataara. the drunk swerved from side to side as he rode his bicycle along the road; kua pa‘epa‘e ‘aere te pa‘ī. the ship made several tacks. [pa‘e RR.] pā‘ere, (-a, -‘ia). Cut or strip off (flesh, skin or layer of sthg), scratch, lacerate. Nāna i pā‘ere i te ‘a‘ai ē kua ‘ōake i te vā‘anga ma‘ata nā Poko. he cut the flesh off the tuna and gave Poko a large piece; kua motu tōna rima i te mātipi i tōna pā‘ere‘anga i te matū o te puaka. he cut his finger with the knife as he was stripping the fat off the pig; kua pā‘ere‘ia te kōpū o te ‘oro‘enua e te niuniu i tōna rere‘anga nā runga ake. the horse’s belly was lacerated by the barbed-wire when it jumped over it. [pā-7, -‘ere2.] pā‘ere‘ere, (-a, -‘ia), fq. pā‘ere. Cut into, strip off, scratch. Kua pā‘ere‘ere‘ia tōna mokotua ki te mātipi i tōna mou‘anga i te ‘enemi. when he fell into the enemy’s hands, they cut his back with knives; kua pā‘ere‘ere ‘aia i te pēni ta‘ito i runga i te ngūtupa ē kua pēni ‘aka‘ou. he stripped the old paint off the door and repainted it. [pā‘ere Rr.]"
paero,", n. Barrel, cask. Kua ma‘ani ‘a Tangi i tāna kava ki roto i te paero. Tangi made his home-brew in a barrel; te tāpoki i te paero, the lid of the barrel; kua ‘oko paero puakatoro miti ‘aia. he bought a barrel of salted beef. [Eng. barrel.] pā‘eru1, (-a, -‘ia). To rummage or rake through, search thoroughly, comb. Kua pā‘eru ‘aia i ā roto i tōna pi‘a moe i tōna kimi‘anga i tāna ruru tāviri. he combed his bedroom searching for his bunch of keys; tērā ake te ‘akavā i pā‘eru i tō kōtou kāinga. here come the police to search your home; kua pā‘eru‘ia te pi‘a kāka‘u e te tamā‘ine i tōna kimi‘anga i tōna tāpe‘a. the girl rummaged through the clothes chest searching for her ring. [pā-7, ‘eru.] pā‘eru2, n. 1. A long, wooden spear. Ko te pā‘eru tēia i vero ei ‘a Taiki i te kōpū o Matatia i tō rāua pekapeka‘anga. this is the spear that Taiki stabbed into Matatia’s belly when they were quarrelling. 2. Husking-stake (Ait. dial. = Rar. kō1). 3. (obsol.). name of an ancient spade with spoon-shaped blade. [pā-7, ‘eru, cf. pā‘eru1.] pāetaeta, v.i. 1. Stretched very taut, tight and stiff, tight-fitting (of garments). Kua pāetaeta tōku pākiri nō te matangi. my skin feels tight and stiff through being out in the wind; ‘E pona pāetaeta tēnā i runga iā koe. that dress is too tight on you; kua kiriti ‘aia i te pereue nō te pāetaeta. he took his jacket off because it felt tight. 2. Obstinate, inflexible. ‘E aronga ngākau pāetaeta tikāi kōtou. you really are an obstinate lot. [pā-7, eta RR.]"
paevai,", n. Plank running around the sides of a house, nailed to roof above the walls to prevent the rain being blown in under the eaves and to which the guttering is attached. Tē pātiti nei māua i te paevai o te ‘are. we are nailing on the house’s paevai. [pae2, vai1.]"
panga,", n. Tree fern (Cyathea spp.) [Pn. *po„a.]   ILL."
panga,", Tree fern"
pange,", 1. (-a, ‘ia). Prop up, support (including support of ideas, opinions). ‘Apaina mai tēnā ngā toka ‘ei pange i te pi‘a. bring over those two stones to stand the box on; e pange koe i tōna katu ki te pūtē urunga. support his head with the pillow; kua pange ‘aia i tōna tangā ki te rima. he rested his chin on his hands; kua pangea te uira o te pere‘ō ki te pi‘a ē kua kiriti‘ia ki va‘o kia ma‘ani‘ia. the wheel of the cart was supported on a box and removed for repairs; tē pange nei au i tō‘ou manako. I‘m supporting your ideas; kua pangea tōna ‘akakoro‘anga meitaki e te tangata. people backed his excellent scheme; e pange mai kōtou i tā tātou ‘īmene. come and help out with the singing (supplement the choir). 2. n. Various supports: pedestal, strut, brace, wall plate, anvil, bridge (of violin etc.). Te pange o te kītā, the bridge of the guitar; te pange o te tiki, the pedestal of the statue; te tupakipaki ki runga i te pange ra, the hammerer on the anvil (Is. 41.7). Pange tua, a back support, a backer or supporter. Pange vaevae, foot support, footstool, place where feet should be placed. Pange no‘o‘anga, stringers on a canoe. 3. n. Association, fellowship, circle, gang. Ka ‘aere tātou ka ‘akatupu pange tīvaevae nā tātou. let’s form ourselves into a sewing circle making patchwork; kua mou te pange kava i te ‘akavā. the drinking gang were caught by the police. (See pangepange.)"
pangepange,", (-a, -‘ia), fq. pange. Support, prop up, back up. Tē pangepange nei mātou i tēta‘i au pā‘ata ‘akari kia kore e taea e te puaka. we are putting these trays of copra up on supports so that the pigs can’t get at them; ‘e tangata pangepange tika ai koe i tāna tuatua. you always support what he says. [pange RR.]"
pangia,", (-‘ia), v.i. Satisfied (of hunger, thirst). Kua pangia tōku kakī vai. my thirst is quenched; E inu koe i tēnā nū nō‘ou, kua pangia au. you drink that coconut, I’ve had enough; kāre i pangia tōku kakī i tēnā kai, inā rā kua kī tōku kōpū. I’d love some more of that food of yours, but I‘m full up. pāngika, n. 1. Bank. Kua tuku ‘aia i tāna moni ki roto i te pāngika. he put his money in the bank. 2. Safe. Kua ‘oko pāngika ‘aia ‘ei vairanga nō te moni toa. he bought a safe to keep the shop’s takings in. [Eng. bank.]"
pango,", n., var. ponga2, notch, etc."
pangopango,", v.i., var. pongaponga. notched, notches etc. [pango RR.]"
pai,"1, v.i. Infertile, barren (of soils), (N.G.Pt dial., cf. Rar. paikea.)"
pai,"2, n. Pie. Tē kai pai mōtini nei māua. we‘re having pumpkin pie. Pai puaka-toro, meat pie. Pai ‘ara, pineapple pie. [Eng. pie.]"
pa‘i,", 1. n. A bed of earth, esp. a raised taro bed (as opposed to a taro swamp (repo tāvari). ‘E pa‘i tērā i kō kua oti i te tāpoki, kāre rā i tanumia ake. there is a bed of taro over there which has been mulched, but it hasn’t been planted yet; nā ‘ai mā i pīpī i tā‘au pa‘i ‘uri tōmāti? who watered your bed of tomato plants? Kīkau tāpoki pa‘i, Coconut leaves for mulching a taro bed. 2. (-‘ia). To dig over a taro patch, prepare a taro bed. Kua pa‘i ‘aia i tāna repo, nō tei mate te vai. he prepared a taro bed because the water (in the taro swamp) dried up. pa‘ī, n. Ship. Kua tomo te pa‘ī. the ship sank. Pa‘ī pātia to‘orā, whaling ship. Pa‘ī tākie, sailing ship. Ka ‘aere mātou ki te ‘anga‘anga pa‘ī. we‘re going to work on the ship (as stevedores). Pa‘ī reva, pa‘ī rere, aeroplane. Pa‘ī ruku, submarine. [Ep. *pasii.] pā‘ī, 1. (-a), v.i. Bath, bathe. Kua pā‘ī ‘aia i te ‘oro‘enua ki te tai i te ‘akaoti‘anga te ‘anga‘anga. he bathed the horse in the sea after work; Kua pā‘ī koe? have you had a bath?; ko te vai pā‘ī tēia o ngā tamā‘ine ā Tuki. this is Tuki’s daughter’s bathing pool. Pā‘ī tai, bathe in the sea, go for a swim. ‘Auraka e ‘aere e pā‘ī tai, ka maremo‘ia koe. Don’t go swimming in the sea, you‘ll get drowned. pā‘ī vai, bathe in freshwater stream, pool etc. Pā pā‘ī, bathtub. E ‘akakī koe i te pā pā‘ī ki te vai vera. fill the bath with warm water. 2. Splatter, splash. Kua pā‘ī te vari ki runga iāia, the mud splattered over him. 3. n. Waterfall, cascade. Kia tae ‘a Tānetinoiti ki te ‘itu o te pā‘ī, kua ‘akangāro‘i ‘aia. when Tānetinoiti reached the seventh waterfall, he took a rest. 4. Cliff. Mē tae kōrua ki te pā‘ī mua, tēnā te ara e kake ei ki runga tei te tua katau. when you get to the first cliff, you‘ll find the path up on the right-hand side. [pā-7, ‘ī1.]"
paia,", pass. pā1. hit. [pā1, -ia4.]"
paieti,", n., (Bib.). Piety, devoutness. E rave ana ratou i te paieti i te angai anga i to ratou uaorai ngutuare. let them practise piety by supporting their own household (1 Tim. 5.4). Te aronga paieti, religious people. [Eng. piety.]"
painga,", n. 1. Innings. Te painga mua, the first innings. 2. Shoaling (of fish), rising in a shoal. Tē painga a te mārōrō, the shoaling of the flying fish. [pā1, -inga.] pā‘ī‘ī, v.i. Squashed, crushed, beaten up, run over. Kua pā‘ī‘ī ā mua i te torōka i te ‘ū‘anga ki runga i te poupou. the front of the truck was crushed when it ran into the post; e tari koe i tēnā au nītā pā‘ī‘ī nā te puaka. take those crushed pawpaws along for the pigs; kua pou te meika para i te pā‘ī‘ī. all the ripe bananas were squashed; kua pā‘ī‘ī te tamā‘ine i te mōtokā i napō. a girl was run over by a car last night; kua pā‘ī‘ī roa ‘aia i tō rāua moto‘anga. he took a real hammering in their bout; ‘e tangata putāngi‘u pā‘ī‘ī, a pug-nosed man. [pā-7, ‘ī1 RR.] paikea. Barren, infertile (only as modifier of one, ‘enua). Kua tanu ‘aia i te au rākau, kāreka tei tanumia ki te ngā‘i one paikea, kua tupu maī ra ē kāre i roa kua mate. he put some trees in, but those planted in infertile soil, they sprouted, but died off before long; topa iora tetai pae ki runga i te ngai paikea, kare i rai te one i reira. some seeds fell upon barren ground where there wasn’t much soil (Matt. 13.5). paiki. Reverse (a vehicle). Kua paiki ‘aia i te torōka. he reversed the truck. [Eng. back.]"
paina,", n. Pine (tree). Te tanu ‘uri paina nei au. I‘m planting some young pine trees; tēnā au potopotonga paina, those pieces of pine wood; ‘E paina te rākau i ma‘ani‘ia ai tōku poti. my boat was made of pine timber. [Eng. pine.] pāina, (-‘ia). Hold before or over a fire. E pāina koe i te ‘āriki ki runga i te a‘i, kā va‘ī ei koe i te ika. soften up the banana leaves over the fire before you wrap the fish in them; kua peke te anu i tōku rima i tōku pāina‘anga ki te a‘i. the chill left my hands when I held them to the fire; kua pāina‘ia te tuna ki runga i te a‘i ē kua tāmā‘ia. the eel was singed over the fire, then cleaned. [pā-7, ina.] pāinaina, (-‘ia), fq. pāina. Expose to a fire. ‘E a‘a i pāinaina‘ia ai? Why has it been put in front of the fire? [pāina Rr.]"
painapa,", n. Pineapple. ‘E painapa tāku i kai ei nā Ponga. I’ve eaten a pineapple that Ponga gave me; tē vāere painapa nei māua. we‘re weeding the pineapples. [Eng. pineapple.]"
paipa,", n. Pipe (for water, etc.), tap. E ‘aere mai koe e ma‘ani i tōku paipa, kua kino te ngā‘i tāviri‘anga. come and repair my pipe, the tap has gone wrong; kua ‘aere mai te tangata ma‘ani paipa kua ‘akatoro i te paipa ki roto i te ‘āua tiare. the plumber came and extended the pipe into the garden; kua ‘oko pa‘upa‘u‘anga paipa mai au. I’ve bought some pipe connections; ‘okota‘i ōku paipa i roto i te ‘are kūki, ‘okota‘i i roto i te ‘āua tiare, I’ve got one tap in the kitchen and one in the garden. 2. Pipe (for tobacco) = pu‘ipu‘i. Kua ‘akakā ‘aia i tāna paipa ē kua pu‘ipu‘i. he lit his pipe and puffed away. [Eng. pipe.] pa‘īrere, n. Aeroplane. Kua nā runga ‘aia i te pa‘īrere ki Nūtirēni. he went to New Zealand by plane; kua ‘akate‘ate‘mamao rātou i te ngā‘i ‘akatō‘anga pa‘īrere nō te tae‘anga mai te pa‘īrere mei Aitutaki mai. the airstrip was cleared for the arrival of the plane from Aitutaki. [pa‘ī, rere.]"
paireti,", n., (Bib. pailoti, pailati). Pilot. Kua ‘akatomo mai te paireti i te pa‘ī ki roto i te ava. the pilot brought the ship into the harbour; paireti  pa‘īrere, pilot of a plane. pa‘īreva, n. Aeroplane. Mēre pa‘īreva, airmail. [pa‘ī, reva.] pa‘īruku, n. Submarine. Kua ea mai te pa‘īruku ki runga i te piri‘anga ki te ‘enua. the submarine surfaced when it neared the island. [pa‘ī, ruku.]"
paka,"1, n. 1. Crust, hard rind (esp. when baked or scorched). Paka varaoa, the crust on bread. Kā kai koe i te paka o te poke? are you going to eat the crust on the pudding?; kua ‘o‘ore ‘aia i te paka o te kuru i te maoa‘anga. he peeled the crust off the breadfruit when it was baked. Tunu paka, to bake or grill on embers. Kua tunu paka ‘aia i tā mātou mōrava. he baked our rabbit-fish on the embers; ‘e ika tunu paka tā māua i kai ei. we ate fish baked in the embers. 2. Bark (esp. the encrusted outer layers). E paripari mai koe i te pakā nū ‘ei ‘akakā i te a‘i kia peke te namu. chop the bark off the coconut tree to light the fire with and get rid of the mosquitoes. 3. Hard outer layer of shell. Pakā ‘onu, turtleshell, tortoiseshell. ‘E tāpe‘a pakā ‘onu tōku. I have a tortoise-shell ring; ‘e rua tātini patapata pakā ‘onu. two dozen tortoiseshell (coloured) marbles. 4. Scab. Kua ma‘ore te paka o tōna ‘une. the scab came off his sore. Paka‘ia, having scabs. tei makiia, e tei pakaia, e tei uneia, whoever has disease, scabs or sores (Lev. 22.22). Pakā ‘ūpē, hard, dried mucus. One paka, clod of earth, (Ait. dial.). (See pakapaka, ‘akapaka(paka), ‘ā-, tā-pakapaka.) [Pn. *paka1.]"
paka,"2, n. A perjorative intensive in the construction (verb) ā paka, sometimes written as one word: completely, to such a destructive or deplorable extent. ‘Auraka e ‘aru ā paka ‘ua i te ‘ōrei i te motu, ‘e oraora. don’t be so rough cleaning the wound, it’s tender. (See ‘uriāpaka, cf. ā1, paka1.)"
paka-,"3, in pakakina, crash, clatter. (See (‘aka-, tā-)pakakina, (‘aka-, tā-) pakapaka-kina.)"
paka-,"4, in paka‘oa, headache."
