Word/Phrase,Description & Definition
‘a‘angu,", n. A large marine animal which surfaces and exhales noisily at night; probably a medium-sized whale. ‘E na‘o ‘a‘angu tei āru mai nā muri i te pa‘ī. a school of ‘a‘angu followed the ship."
‘a‘ai,"1, n. Yellowfin tuna (Thunnus alba-cores). Kua mou te ‘a‘ai mua ki runga i te matau ē kāre i roa kua ora. the first tuna was caught on the hook, but it soon got away; tē ‘ī ‘a‘aī ra rātou i ea mai ei te mangō ma‘ata. they were fishing for tuna when a big shark surfaced. Tauranga ‘a‘ai, a tuna fishing ground. [Tah. ‘a‘ahi.]"
‘a‘ai,"2, (-a, -‘ia). Lift (a prohibition or restriction). Kua ‘a‘ai‘ia te tapu. the prohibition has been lifted; kāre e tika i te mata‘iapo i te ‘a‘ai vave i te rā‘ui o te ‘enua. the chief won’t agree to an early lifting of the restriction on that piece of land."
‘a‘aki,", (-a, -‘ia, -na, ‘ākina, ‘ākia). Pick, pluck (fruit, flowers), pull (trigger). Kāre e taea e au i te ‘a‘aki i te vī. I can’t reach to pick the mangoes; ‘e kuru ‘a‘aki ‘ōu, a freshly picked breadfruit; ‘e a‘a i ‘ākina‘ia ai te rēmene rikiriki? why have the small lemons been picked?; kua ‘a‘aki ‘aia i te ‘āmara ē kua ‘aruru. he pulled the trigger and (the gun) went off. [‘aki rR.] ‘ā‘āki, (-a, -‘ia, -na, ‘ākia). 1. Disclose (information), confess (sin, crime). ‘Auraka rava koe kia ‘ā‘āki i tēia tuatua ki tēta‘i tangata. on no account are you to reveal this news to anyone; kua ‘ā‘āki‘ia tā rātou au tuatua kātoatoa ki te ‘akavā. everything they had said was disclosed to the police; kua ‘ā‘āki ‘aia i tāna ‘ara ki te Atua. he confessed his sins to God; kua ‘akakore te pū i tāna ‘ara i tōna ‘ā‘āki-‘anga. the employer over-looked his offence when he owned up. 2. Tell sbdy something. (Mang. dial., cf. Rar. ‘akakite)."
‘a‘akina,", pass. ‘a‘aki, q.v. ‘ā‘ākina, pass. ‘ā‘āki, q.v. ‘ā‘āmangā, n. A large predatory barracuda-like fish. Kua ‘anga‘anga ma-‘ata ‘aia i mate ei te ‘ā‘āmangā. he had a tough struggle before the ‘ā‘āmangā died. [‘ā‘ā2, mangā.]"
‘a‘ani,", (-a, -‘ia). Copulate, have inter-course with. Tē ‘a‘ani ‘uā ra taua ngā ‘onū ra i runga i te kiriātai. the two turtles were copulating on the surface of the sea; kua ‘a‘ani ‘aia iāia. he had intercourse with her."
‘a‘ano,", v.i. Broad, wide; breadth, width (esp. of things which have little thickness, e.g. mats, clothing materials). Kāre ‘e ‘a‘ano roa ana tēnā tauera. that towel isn’t wide enough; ‘e a‘a te ‘a‘ano o tēnā moenga? how wide is that mat?; ‘e ‘opa kāka‘u ‘a‘ano ake tēia. this roll of material is wider; kua ma‘ani ‘a‘ano ‘aia iā mua i tōna tau pare ē ko ā muri kua ‘akaoaoa ‘aia. she made the brim of her hat wider in the front and made it narrow at the back. (See tā‘a‘ano.)"
‘a‘anu,", v.i. Mope, sit huddled up and looking pinched and miserable. ‘E a‘a te tumu i ‘a‘anu ‘ua ai koe i kona? what are you moping there for?"
‘a‘ao,", (-a, -‘ia, -na). 1. Put something in a container, to pack. Kua oti te meika i te ‘a‘ao. the bananas are all packed; E ‘a‘ao i te mereki ē te kapu ki te pi‘a ‘okota‘i. pack the cups and saucers in the one box; E ‘a‘ao i te moni ki roto i tō pūtē piripou. put the money in your trousers pocket. ‘Are ‘a‘ao ‘ua rākau, fruit-packing shed. Pi‘a ‘a‘ao ‘ānani, orange-box. 2. Wear, put (clothes) on. Kua ‘a‘ao ‘aia i tōna tāmaka (pona, pare, piripou). he put on his shoes (shirt, hat, trousers); kua ‘uri tōna pona i te ‘a‘ao‘anga. she put her dress on back-to-front. [‘ao2 rR.]"
‘a‘aona,", pass. ‘a‘ao, q.v."
‘a‘aorima,", ‘ao‘aorima, n. Glove(s), mitten(s). ‘Ei ‘ao‘aorima kiri tā‘au ‘e ‘oko. you should buy a pair of leather gloves. [‘ao2 rR and RR, rima1.]"
‘a‘ari,", (-a, -‘ia). Pull up (root crops) for harvest. Kua ‘a‘ari ‘aia i tāna one kūmara ē kua tari kua ‘oko. he pulled up his patch of sweet potatoes, carted them off and sold them; kāre i ‘a‘ari‘ia ake tāna one kūmara, pēnei kāre i kiko. he hasn’t lifted his sweet potatoes yet, maybe they are not mature; kua kī ‘ē rua nga‘uru pūtē i tō rātou ‘a‘ari‘anga i tāna one māniota. they filled twenty sacks when they harvested his patch of arrowroot. ‘ā‘ārua, n. Manta ray, giant devilfish. Kia matakite, kā mou tō tāua tūtau ki runga i te ‘ā‘ārua. be careful, we‘ll catch the anchor on the manta; ‘e punua ‘ā‘ārua tērā ake. here comes a young manta. [Pn. *faafaa-lua.]"
‘a‘ati,", (-a, -‘ia, ‘ātia). 1. v.t. Break (bend and snap) something, crease (paper), bend (one’s legs), break (a law or rule), disobey (an order). Kāre ‘e rauka iā koe i te ‘a‘ati i tēnā rākau. you won’t be able to break that stick; E ‘a‘ati i te pēpa kia tika mē ‘atu‘atu koe. get the creases straight when you fold the paper up; kua ‘a‘ati ‘aia i tōna vaevae. he bent his knees (or he broke his legs); kua ‘a‘ati koe i te ture, nō reira tē ‘akautunga‘ia nei koe ‘ē rima paunu. you have broken the law and are therefore fined five pounds; ‘e tangata ‘a‘ati koe i te ‘akaue‘anga. you are always disobeying instructions. 2. v.i. Break (of waves). Kia ‘a‘ati te rua o te ngaru, kā ‘oe ei tāua nā roto i te avaava ki uta. let the second wave break and then we‘ll paddle in through the reef; kua tomo te vaka i te ‘a‘ati‘anga te ngaru. the canoe sank when the wave broke. [‘ati rR.]"
‘a‘atu,", (-a, -‘ia, ‘ātua), v.i. Fold up, fold over, double over. Kua ‘a‘atu ‘aia i te kie ē kua tuku ki runga i te torōka. he folded up the tarpaulin and stowed it on the truck; kua ‘a‘atu‘ia te moenga kia kore e kī i te repo. the mat was folded up so that it wouldn’t get full of dirt; kua ‘a‘ati ‘aia i tāna mātipi. he folded up his knife; mātipi ‘a‘atu, pocket-knife, pen-knife; E ‘a‘atu meitaki i tō karā pona mē oti te rī i te tāpeka. turn your shirt collar down prop-erly when you knot the tie; kua ‘a‘atu mai te ngaru ki roto i te poti ē kua tomo. the wave curled over into the boat and it sank. [-‘atu3 rR.]"
‘a‘au,", (-a, -‘ia). Swirl, eddy (of wind and rain); a draught. Kua ‘a‘au te ua ki roto i te ‘are i te nga‘ā‘anga te ngūtupa. the wind blew into the house when the door opened; neke roa mai ki te ngā‘i ruru, kia kore koe e ‘a‘au‘ia mai e te ua. come further under cover, so the rain won’t blow in on you; ‘auraka e no‘o ki kona, ‘e ‘a‘au tēnā iā koe. don’t sit there, you are in a draught. ā‘au, poss. cplx (prep. + pers.pron.). Belonging to you (sg.), of alienable possessions; performed by you (sg.), of actions; when used before nouns marks the noun as plural (usu. indefinite paucal) except after kāre and ‘okota‘i. Ko ā‘au puaka tēnā? are those your pigs?; tēnā puaka ā‘au, that pig of yours; ēnā puaka ā‘au, those pigs of yours; kāre ā‘au puaka? haven’t you got a pig?; ko te pātikara tērā ā‘au i ‘apai mai ei. that is the bicycle which you brought. [ā1, ‘au6.] ‘āauīka, v.i., n. Bluish, bluer, bluish-(ness). ‘E pēni ‘āauīka tā‘au i kona? have you got a bluish-coloured paint there? 
[‘ā-8, auīka.]"
‘ae,"1, rt. *Rip, tear. (See ‘a‘ae, ‘ā‘aenga, ‘ae‘ae1, ‘aenga, ‘āenga, tā(nga‘a)nga‘ae; cf. ‘ae2.) [Pn. *sae1.]"
‘ae,"2, v.i., n. Savagely angry, infuriated (state), esp. of animals. Kua ‘ae te puakatoro i tōku kanga‘anga i tāna punua. the cow turned savage when I played with her calf; ‘e puakāoa ‘ae kino tēnā mē tātī‘ae‘ae‘ia. that dog gets really vicious if it is teased; i te ‘ae‘anga te rango meri, kua arumaki‘ia mātou ē kua paopaoa. when the bees got angry, they chased and stung us. (See ‘ae‘ae2, (tā)tī‘ae(‘ae), cf. ‘ae1.) [Pn. *sae2.] ‘āe1, ‘ē4, interj., v.i. Yes, say yes. ‘Āe, kua tika rava iāku. yes, I quite agree; mē kamo atu au i taku mata, ‘e ‘āe koe. when I wink my eye, you say yes; kua riri au kiāia i tōna ‘āe‘anga. I was annoyed at him for saying yes. [Ep. *ae.] ‘āe2, interj. Hi! (a call, or preface to a remark to gain attention). ‘Āe, kua rongo koe i te nūti? I say, have you heard the news? ā‘ea, cplx (prep. + loc.n.), sometimes spelled as two words, ā ‘ea, in 1. and 2. below. 1. When (with future reference). Ā‘ea te pa‘ī e tae mai ei? when will the ship get in? 2. Where?, at what place?; ko ā‘ea tēia ngā‘i? whereabouts would this be? Ko te...ā‘ea, ka...ā‘ea, lest, in case. ‘Akarapurapu mai, ko te ‘aere ā‘ea te torōka! hurry up in case the truck goes!; E ārai i te tangata i te ‘aere nā konei, kā topa ā‘ea ki raro i tērā rua. stop people coming this way in case they fall down that pit there. [ā1 4, ‘ea.]"
‘ae‘ae,"1, (-a, -‘ia), fq. ‘a‘ae. Rip, tear. Kua ‘ae‘ae ‘aia i te pēpa. she tore the letter up; kua ‘ae‘ae te puakaoa i te kīkau. the dog ripped the coconut-leaf basket to shreds; taria mai te au rau‘ara i ‘ae‘aea. bring over the pandanus leaves that have been (prepared for basket-making by being) torn into strips. [‘ae1 RR.]"
‘ae‘ae,"2, v.i., fq. ‘ae2. Savage; infuriated (state). ‘āenga, nom. A shred, strip or piece (of cloth or paper). Kua ‘ōrei ‘aia i tōna rima ki te ‘āenga kāka‘u. he wiped his hands with a piece of rag; ‘e tuatua tei runga i teia ‘āenga pēpa. there is a message on this bit (of paper). [‘ae1, -nga2.] ‘ā‘ei, (-a, -‘ia). 1. Put a loop around something, lasso, trap with net or snare. Kua ‘ā‘ei te ika ki runga ki te kupenga. the fish were entangled in the net; ‘e taura ‘ā‘ei tēnā i te puakatoro. that rope is to lasso the bull with; ‘Ā‘eia ki runga i tō kakī. put it (loop it) around your neck. 2. n. Shingles. ‘E ‘ā‘ei tōna maki. he’s got shingles. [‘ā-8, ‘ei1.]"
‘aere,", (-ia). 1. Go, walk, proceed, progress. ‘Aere atu! go away, go on!; ‘aere mai! come here!; kāre ‘e tangata i kite i tōna ‘aere‘anga ki va‘o. nobody saw him going out; ‘aere ‘āngaia te puaka! go feed the pigs!; ‘aere tikina ‘aia! go fetch him!; kua ro‘iro‘i ‘aia i te ‘aere. he is tired of walking; ‘e motu ‘aere‘ia tēia e te tangata i te au rā ‘ōrotē. people often visit this island on holidays; ka ‘aere‘ia tēia ‘are ‘ura e te tangata mē reka tā kōtou ‘akatangi. this dance-hall will be well-attended if you play well; te ‘aere mārie nei te pītiniti. business is slow; kua ‘aere kē te pō‘aki pupu‘i mei te tāpa‘o. the bullet went wide of the target; ka ‘aere ki te ora rua e kake mai ei te marama. it will be two o‘clock before the moon rises. 2. adv. (usu. after verbs), here and there, around and about, while going along. Kua kimi ‘aere ‘aia iāku. he searched around for me; ka ‘aere au ka ori ‘aere. I‘m going for a stroll around; ‘auraka e titiri tītā ki raro ‘aere i te pū rākau. don’t go throwing rubbish around under the trees; kua auē ‘aere ‘aia ki te kāinga. she went home crying; kua mou ‘aere rātou i tō rātou putāngi‘u. they went around holding their noses; ‘e au to‘uto‘u ‘aere tei runga i tōna moenga. there were stains here and there on her mat. ‘Aere ka..., to start to, to be going to. Kua kerekere te rangi, ka ‘aere pa‘a kā ua. the sky is black, maybe it is going to rain; ka ‘aere ‘aia ka auē. she is going to cry; ka ‘aere ka muramura. it is starting to go red. ‘Aere ki mua, go ahead, make (good) progress. Ka ‘aere te ‘anga‘anga ki mua mē tā‘okota‘i kōtou. the work will go ahead well if you cooperate; ‘e māpū manako pakari kia ‘aere ki mua, a young man bent on getting on. ‘Aere rā, goodbye (said to the person leaving). ‘Aere rā, kia manuia koe. goodbye and good luck. ‘E mea ‘aere ‘ua, something done without cause or authority. Kāre i te mea ‘akaue, ‘e mea ‘aere ‘ua nāna. he wasn’t ordered to, he just went and did it. ī ‘aere ‘ua atu, and so on, and more (indefinitely). Mei te rua ‘īni ē ‘aere ‘ua atu, from two inches upwards. (See ‘ā‘āere, ‘aere‘aere, ‘aerenga, tā‘aere.) [Pn. *sa‘ele.]"
‘aerenga,", nom. Journey, walk, process. Kua pē‘ea tō‘ou ‘aerenga? how did your journey go?; ‘e a‘a tō‘ou ‘aerenga? why have you come?; ko tōna ‘aerenga tēia ki te ‘ura. this is his trip to the dance; kua tāmata ‘aia i tēta‘i ‘aerenga manako ‘ōu. he tried a new line of thought. [‘aere, nga2.]"
‘aere‘aere,", (-‘ia). 1. fq. ‘aere. Go, walk, proceed. Kua ‘aere‘aere tēta‘i pāpāki tangata ki te kāinga. some of the people have walked off home; nō tāna ‘aere‘aere putuputu, nō reira i kore ei ‘e meitaki vave tōna maki. he is always on the go, that is why he isn’t getting better quickly; i ‘aere‘aere‘ia ana tēnā ngā‘i e te tamariki i nana‘i. the children were walking over that place yesterday. 2. fq. ‘ā‘āere, stray, wander. Tē ‘ā‘āerē ra tō puaka. your pigs are roaming loose. [‘aere RR.] ‘āeto, n. Eagle. Kia ‘aka‘ōu‘ia kōtou mei te ‘āetō ra. let yourselves be renewed like the eagle; kua ‘oki te ‘āeto ki tōna tauranga. the eagle returned to its perch. [Gk aetós.]"
anga,"1, v.i. (Turn and) face. I reira, kua anga mai ‘aia kia mātou ma te kinokino i tōna mata. then he turned and faced us with an evil look; kāre e rauka iāia i te anga ki muri, nō te mea, tē ‘ākara ‘ua maīra te ‘akavā. he couldn’t look back, because the policeman was still there watching him; ‘Ākara mai ‘aia, tē anga ‘ua atūra au kiāia. he looked towards me, and there I was, facing him; tē anga ‘uā ra taua pa‘ī ki te ava i pū‘ia mai ei. the ship was facing the harbour when it was shot at. Anga i te tua, to turn the back. Kua anga mai ‘aia i tōna tua kiāku. he turned his back to me. (See angaanga1, tāanga-(anga), tānga.) [Pn. *haā2.]"
anga,"2, v.i. Wear off, subside (of anger, tiredness, sleepiness). E tiaki koe kia anga tōna riri ka tuatuāi koe kiāia. wait until his anger wears off before you say anything to him; kua anga te ro‘i. the tiredness has worn off; kāre i anga tāna moe, nō te mea, kāre ‘aia i moe vave. he was still sleepy (when he got up), because he didn’t get to bed (or get to sleep) early."
anga,"3, (-‘ia). Measure something in arm-lengths, to measure something by extending it over a fixed measure (not measure with a ruler, cf. vāito). E anga mai koe ‘ē rima mārō taura nāku. measure me out five fathoms of rope; kāre i tae te iva iāti i tō‘ou anga‘anga. you didn’t measure out the full nine yards; anga‘ia tēnā ‘opa kāka‘u kia kitea te roa. measure the length of that roll of material. (See angārima.) [Pn. *haā1.]"
anga,"4, n. 1. Shell (of bivalve, e.g. clam (pā‘ua), cockle (ka‘i), mussel (kuku), not cowry (pōre‘o) or whorled shell of gastropod (pūpū)), shell (of coconut or egg). ‘E ‘akari anga petetue tēnā, kā tano ‘ei ma‘ani peru. that coconut has a thick shell, it will do to make combs with; ‘e anga pā‘ua mānea tēnā. that’s a nice clamshell. 2. Curved fragment, esp. piece of a broken bottle. Kā motu tō vaevae i te anga mō‘ina mē ‘aere koe nā kona. you‘ll cut your feet on the broken bottles if you go that way. 3. An empty (container). Taria mai tēnā anga mō‘inā pia. bring those empty beer-bottles; tē tari anga pi‘ā ra rātou ki te au ngā‘i tanu‘anga. they are taking empty boxes to the plantations. (See angaanga3.)"
-anga,"5, morph. Nominalising suffix, indi-cating the occasion or time of the action of the base."
‘anga,"1, (-‘ia). Create, invent, fashion, building. Kā ‘anga tātou i te tangata kia ‘āite ki tō tātou tū. let us create man in our own image; nā tōna metua i ‘anga i te rātio mua ki teianei ao. his father invented the world’s first radio; kāre i te tuatua tika, ‘e mea ‘anga ‘ua nāna. it wasn’t a true-life story, he made it up himself; kua ‘anga ‘aia i tēnā tiki. he made (conceived and built) that statue; kua ‘anga‘ia tē reira ‘are ‘ei ngā‘i ‘akapū‘anga nō te tangata i te tuātau ‘uri‘ia. that house was built so people would have somewhere to shelter in the hurricane season. [Pn. *saā1.]"
