Word/Phrase,Description & Definition
‘ia,"4, Mang. dial. = Rar. kia2. iā1, see ia3. iā2, prep. (see i2) + prep. (see ā1 (3)). Kua pēni mātou iā te pae i te ‘are. we painted the side(s) of the house; Kua vāere rāua iā te ni‘a o te kauvai. they cleared away (the undergrowth along) the bank of the river; Kua oti iāku i te ‘akamataara iā konei. I’ve finished making a path along here. (cf. nā3.) īā, (-‘ia). Shoo, drive, urge on (animals, fish). Ka rauka iā koe i te īā i tērā au puakatoro ki roto i te ‘āua? can you drive those cows into the enclosure?; Āā‘ia te moa ki va‘o, kā kai i te tōmāti. shoo the chickens out, they‘ll eat the tomatoes; ‘Auraka e īā i te ‘oro‘enua. don’t urge the horse on. iā‘ai, iā ‘ai. Who, whom? Ka ‘apai koe iā‘ai? Who(m) will you take?; Tei iā‘ai tō‘ou pātikara? who has got your bicycle? [ia3 + ‘ai3.] iāia, i ā ia. He, she, him, her. Kāre iāia te tika. he has no authority, he has no right, it’s not his business; I ‘ārāvei ana koe iāia? did you meet him?; Mei iāia rāi ‘a Ma‘a. what happened to him is just like what happened to Ma‘a; Iāia katoa ra ‘oki teianei tangata. this man was also with him (Luke 22.56); Kua ‘akakite mai ‘aia ē iāia i ‘oki mai ei mei Avarua mai, ‘e ‘apinga tika ai te ua i Matavera. he said that as he was coming back from Avarua it was raining cats and dogs in Matavera. (cf. ‘aia.) [i2 + ā2 + ia1.]"
‘iakai,", ‘ia kai, v.i. Feel hungry (dialectal). (See ‘ia-2, kai1, cf. Rar. matepongi.) iāku. Me. Kāre iāku, not with me (I haven’t got it); tei iāku, with me (I’ve got it); ‘Ea‘a koe i ‘inangaro ei iāku? what did you want me for?; iāku i ‘oki mai ei mei Avarua mai, as I was coming back from Avarua; Kua moto ‘aia iāku. he punched me. (cf. kiāku, au6.). [i2 + ā2 + -ku.]"
‘iamoe,", v.i. Feel sleepy (dialectal). (See ‘ia-2, moe.) iāti1, n. Yard. E anga mai koe ‘ē rima iāti nīnira. measure me out five yards of white drill. [Eng. yard.] iāti2, n. Yacht. ‘E mea iāti tei raro i te ava, nō Marike mai. there is a small yacht in the harbour, from America; ‘E iāti tākie. it’s a sailing boat. [Eng. yacht.] -iāti3, n. Yard, yardarm. [Eng. yard.]"
‘iavai,", ‘ia vai, v.i. Feel thirsty (dialectal). (See ‘ia-2, moe; cf. Rar. kakī vai.)"
‘ie‘ie,", rt. See ‘aka‘ie‘ie, lovely, pretty (Ait. dial.)."
‘iero,", n. Temple, church (‘are pure is the usual word). Aere atura oki a Petero raua ko Ioane ki runga i te iero ra. now Peter and John went up together into the temple (Acts 3.1). [Gk hieros.]"
‘inga,", (-‘ia), v.i. 1. Topple, fall over (not drop, cf. topa), lean over, slant. Kua ‘inga te rākau ki runga i te ‘are ē kua nga‘anga‘ā te ‘are. the tree fell onto the house and smashed it; Kua ‘ingā‘ia ‘aia e te poupou. the pole toppled over on top of him; I ‘inga tōku ‘are i te matangi. my house was overthrown by the wind; Kua kī tōna kāka‘u i te vari i tōna ‘inga‘anga. he got his clothes covered with mud when he fell over; Kua ‘inga roa tā‘au tātā, ‘akatū‘ia ake tēta‘i mānga. your writing slants too much, make it a bit more upright; taua rākau ‘ingā ra, that falling (or leaning) tree. 2. Fail, lose (in a contest). Kua ‘inga ‘aia i tāna tārērē. he failed in his exams; Kua ‘inga tō mātou pupu. our team lost; Kua ‘inga rātou i taua tamaki‘anga. they lost that war; Kua ‘akakeukeu‘ia te manako o te tangata, kāre rā rātou i ‘inga. the people’s beliefs were shaken, but they didn’t give way. (See ‘aka‘inga(‘inga), ‘inga‘inga, tā‘inga(‘inga).) [Pn. *si„a.]"
‘inga‘inga,", v.i., fq. ‘inga. Topple, lean over. Kia tūtaka‘ia te ‘enua i muri ake i taua ‘uri‘ia‘angā ra, ‘e mānganui te ‘are ē te rākau tei ‘inga‘inga. when the island was inspected after the hurricane, there were many trees and houses down; E ‘akaātea viviki i te au rākau tei ‘inga‘inga ki runga i te mataara. hurry up and clear the trees that have fallen onto the road. ‘Inga‘ingā moe, to be half-asleep on one’s feet (rocking to and fro), nodding off. Kua ‘inga‘ingā moe ‘aia. he’s half-asleep on his feet; ma te tū ‘inga‘ingā moe, as if nodding off. [‘inga RR.] ‘ingo. Dance (‘Ātiu dial., cf. Rar. ‘ura.)"
ingoa,", n. Name. Ko ‘ai tō‘ou ingoa? Ko Mere. what’s your name? Mere; ‘E pāreu te ingoa i tē reira kāka‘u. that garment is called a pāreu; ‘E pātē nā te Rarotonga te ingoa i taua ‘apingā ra, ‘e tōkere nā mātou. the Rarotongans call it a pātē (slit-gong), we call it a tōkere; Tē kimi ingoa nei mātou nō teia pēpe. we‘re trying to think of a name for this baby; Tē topa nei au i te ingoa o teia ‘are, ko Te Aro‘a. I now name this house, Te Aro‘a; ‘E ingoa kino tōna i roto i te va‘a o te tangata. he has a bad name with people; ‘E ingoa ‘aia nōku. he is my namesake. Ingoa kanga, nickname. Ingoa metua, surname. Ingoa pāpetīto, Christian name, baptismal name. [Pn. *hi„oa.] ‘īngore, v.i. Frail, thin and weak, languid, without energy or determination, half-hearted. Nō te ‘īngore i taua tamaitī ra, nō reira i kore ei e ‘akatika‘ia kia tu‘epōro. the boy is so frail, that’s why he isn’t allowed to play rugby; Kua ‘īngore te tupu o taua rākau ra nō te marumaru. the sapling has grown thin and weak because it is in the shade; ‘E tangata ‘īngore tika ai koe i te rave i tā‘au ‘anga‘anga. you don’t get stuck in to your work; Nō te ‘īngore ia kōrua i te rave i tā kōrua ‘anga‘anga, nō reira i kore ei e oti. you are so half-hearted about tackling jobs, that’s why they don’t get finished. [‘ī7, *ngore.] ‘īngorengore, v.i., fq. ‘īngore. Thin and weak, half-hearted. Ka ‘īngorengore tēnā au rākau mē tanu putuputu‘ia. those plants will get thin and drawn up if they are planted too close together; nō te ‘īngorengore ia kōtou i te ‘anga‘anga, because you are work-shy. [‘īngore RR.]"
i‘i,", n. The Tahitian chestnut tree and its edible nuts. Tapa‘ia te i‘i kia tūnā‘ia. cut the chestnuts open for cooking; ‘Uakia te va‘aruā i‘i. uncover the pit with the chestnuts in; Tē kai i‘i nei māua, ‘ēi nā‘au tēia. we‘re having some chestnuts, here, these are for you; i‘i pao kiore, a chestnut nibbled by a rat; i roto i te i‘i pao kiore, in a tight corner, in a tight spot. Some varieties: i‘i kanakā, a variety with large nuts used for making kanakā bread; i‘i kura, a variety with red pods; i‘i tea, a variety with pale green pods; i‘i uri, a variety with dark green pods. (See katu‘i.) [Pn. *ifi2.]    ILL"
i‘i,", Tahitian chestnut tree ‘i‘ī1, v.i., intens. ‘ī1. Spurt out, squirt out. Tē ‘i‘ī maī ra te vai mei roto i te mato. the water is spurting out of the rock. [‘ī1 rR.] ‘i‘ī2, v.i. Come out in goose flesh, show goose pimples. Kua ‘i‘ī tōna pākiri nō te anu. his skin was goose pimpled from the cold. (See ‘ī‘ī4; cf. ‘i‘ī1.) ‘i‘ī3, v.i. 1. Strike (luck, gold, fish), encounter. Kua ‘i‘ī ‘aia ki te manuia. he struck lucky, he had good luck; Kua tupu te pekapeka i tō rātou ‘i‘ī‘anga ki te ‘auro. trouble started when they struck gold; I tō rātou ‘i‘ī‘anga ki te ika, kua tā‘ei rātou. when they found fish they netted them; Mē ‘i‘ī koe ki te arā pō i te tautai, ka rauka tā‘au ika. if you hit on the right phase of the moon when you go fishing, you catch plenty. 2. Catch on (ki runga i) a snag, entangle. Kua ‘i‘ī te matau ki runga i te kāoa. the hook snagged on a coral rock; Kia matakite, ko te ‘i‘ī mai tēnā manamanatā ki runga iā koe. be careful or you‘ll get involved in the trouble. (See ‘ī‘ī5.) ‘ī‘ī1, v.i. Spray out, come out in spurts or squirts, fq. ‘ī1. Kāre e pakari ana te vai i te ‘aere mai, nō te mea tē ‘ī‘ī ‘uā ra nā roto i tērā au puta o te kiri. that water isn’t coming with any force, because it’s spraying out through those holes in the hose; i te ‘ī‘ī‘anga te vai ki runga iāia, when the water sprayed over him. [‘ī1 RR.] ‘ī‘ī2, (-a, -‘ia). Fish with hook and line, fq. ‘ī2. Tē ‘ī‘ī kōkiri nei māua. we‘re fishing for triggerfish; ‘E au a‘o ‘ī‘ī tēnā nā taku pāpā. those are my father’s fishing lines; kia ‘oki mai te au tangata ‘ī‘ī mei te moana, when the deep-sea fishermen return; Kua ‘ī‘īa e Tua mā te tuna i raro i tēia ruā vai. the eels in this pond have been caught by Tua and his friends. [‘ī2 RR.] ‘ī‘ī3, n. A kind of dogwinkle, resembling the pūpū, but larger, and found only on seashore rocks. Ko te ‘ī‘ī mama‘ata tā‘au e ko‘i, ‘auraka te mea meariki. collect only the big ‘ī‘ī, not the small ones; Tē ko‘i anga ‘ī‘ī nei māua. we‘re collecting ‘ī‘ī shells; Kua tunu ‘aia i tāna paoti ‘ī‘ī. she boiled her tin of ‘ī‘ī. [Pn. *siai3.] ‘ī‘ī4, v.i. Come out in goose pimples, fq. ‘i‘ī2. I te ‘ī‘ī‘anga tōna pākiri, kua kite māua ē kua mataku ‘aia. we could see he was scared when he kept coming out in goose-pimples; Kua ‘i‘iki tōku pākiri. I‘m coming out in goose pimples. (cf. ‘i‘ī2.) ‘ī‘ī5, v.i., fq. ‘i‘ī3. Strike (gold, good luck)."
‘i‘iki,", v.i. Come out and cling on (of crabs and shellfish). Kua ‘i‘iki ‘ua te ariri i runga i te akau. the ariri (dog-whelks) were out clinging to the reef; Ka ‘i‘iki te pūpū nō te ua. the pūpū (small whorled gastropods) will come out (from cover) and cling on to things because of the rain; Kua ‘i‘iki te tupa ki runga i te au ‘ātavatava rākau i te puke‘anga te vai. the land crabs climbed up and clung on to the branches when the floods came."
‘i‘iki,"2, v.i. come out in goose-pimples. Kua ‘i‘iki tōku pākiri. I‘m coming out in goose-pimples. (? = ‘i‘ī2.)"
‘i‘iri,", v.i. Finicky, choosy, fastidious. Kua ‘i‘iri te ‘oro‘enua i te mauku. the horse is finicky about (eating) the water-grass; ‘E tangata ‘i‘iri kai tika ai koe. you‘re very fastidious about what you eat; Kāre au e ‘i‘iri i te kāka‘u, ko tā‘au ‘ua kā ‘oko mai. I‘m not fussy about clothes, buy me what you think. [‘iri1 rR.]"
‘i‘iu,", v.i. Shy of people (said esp. of domestic animals which are not properly tamed or revert to a wild state). Ka ‘i‘iu tō puaka mē roa te no‘o‘anga ki te maunga. your pig will turn wild if you leave it on the hill for too long; Kua ‘i‘iu te puakatoro nō tei itiiti‘ia ki te puakaoa. the cow was unapproachable after the dog had been set on it; Nō te ‘i‘iu i tōna ‘oro‘enua, kua tārarata ‘aia. his horse wasn’t gentled, so he broke it in; I te ‘i‘iu‘anga tāna puakatoro, kua manako ‘aia i te ‘oko ki te tangata tā puakatoro. when his cow turned wild, he thought about selling it to the butcher. [‘iu, rR.]"
ika,", 1. n. Fish. ‘E manini tēia ika, ‘e maito tērā. this fish is a manini, that’s a maito; Kā tunu au i teia mīmiti ika nā te puaka. I‘ll cook this fish head for the pig; Ka ma‘ani ika mata au nā‘au? shall I prepare you some raw fish?; Nā‘ai tērā pā ika? whose fish weir is that? Ika tauira, small fry. Te ika a Tangaroa, the Milky Way. Ikā kai namu, the mosquito fish (Gambusia affinis). ‘E ika marū ‘ua tēnā. that’s a simple job, there’s nothing to it, (an easy fish). 2. v.i. Abounding in fish. Kā ika teia pō i te rama. it‘ll be a good night for torch fishing (= ‘e pō ika tēia i te rama). (See tuingāika.) [Pn. *ika.]"
‘ika,"1, (-‘ia, ikā‘ia). Kindle (fire) by rub-bing sticks or using fire-plough, strike (match). Kua ‘ika ‘aia i te a‘i ē kā ē kua tutungi i tāna ‘ava‘ava. he kindled a fire and when it caught he lit his cigarette; Kā kite koe i te ‘ika a‘i? do you know how to make fire?; ‘Ika ‘Iro i tāna a‘i, kāre e kā. ‘Iro rubs his fire, it won’t light (from a chant); ‘Ikā‘ia te māti. strike a match. (See ‘ika‘ika1.) [Pn. *sika2.]"
‘ika,"2, n. Vulva. Kua mamae tōna ‘ika. her vulva is hurting her. [Np. *sika3.]"
‘ika,"3, netting-needle (same as kautā, q.v.). [Pn. *sika1.]"
